Date,Open,High,Low,Close,Adj Close,Volume,dhia,focus,mibus,goisff,48546
2010-06-29,3.8,5.0,3.508,4.7780000000000005,4.7780000000000005,93831500,1.492,17.54,-1.2700000000000005,25.0,0.2919999999999998
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,1.4239999999999997,28.351440000000004,-0.10599999999999987,37.015056,0.4980000000000002
2010-07-01,5.0,5.184,4.0539999999999985,4.392,4.392,41094000,1.13,21.015936,-0.33800000000000185,26.873856,0.9460000000000015
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,0.8780000000000001,17.28804,-0.09799999999999986,21.3444,0.8579999999999997
2010-07-06,4.0,4.0,3.1660000000000004,3.222,3.222,34334500,0.8340000000000001,12.664,-0.055999999999999606,16.0,0.8339999999999996
2010-07-07,3.28,3.326,2.9960000000000004,3.16,3.16,34608500,0.3300000000000001,9.964696000000002,-0.1639999999999997,11.062275999999999,0.28399999999999936
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,0.3900000000000001,10.911455999999998,-0.3780000000000001,12.278015999999996,0.11400000000000032
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,0.27,11.8498,-0.16999999999999993,12.8164,0.20599999999999996
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,0.214,12.2876,-0.010000000000000231,13.060996000000001,0.18999999999999995
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,0.3480000000000003,12.60064,-0.24800000000000025,13.897984,0.09800000000000031
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,0.4780000000000002,14.314560000000002,-0.4159999999999999,16.240900000000003,0.03600000000000003
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,0.5,16.34,-0.17800000000000038,18.49,0.18800000000000017
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,0.25,17.0826,-0.11800000000000033,18.1476,0.1299999999999999
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,0.266,18.6188,-0.1979999999999995,19.8025,0.08999999999999986
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,0.3600000000000003,17.523699999999998,-0.049999999999999815,19.0969,0.3600000000000003
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,0.2799999999999998,16.302,-0.14399999999999968,17.472399999999997,0.23199999999999976
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,0.17600000000000016,17.3145,-0.12600000000000033,18.0625,0.0259999999999998
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,0.10000000000000052,18.162144,-0.04600000000000026,18.593344,0.02600000000000069
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,0.2400000000000002,17.458,-0.13000000000000078,18.49,0.2400000000000002
2010-07-27,4.182,4.2360000000000015,4.052,4.11,4.11,3098500,0.18400000000000016,17.164272,-0.058000000000000725,17.943696000000013,0.13000000000000078
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,0.0779999999999994,17.14636,-0.04199999999999982,17.472399999999997,0.008000000000000007
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,0.17600000000000016,16.704,-0.07000000000000027,17.438976,0.15399999999999991
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,0.17799999999999996,15.984079999999999,-0.07799999999999985,16.711744,0.1299999999999999
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,0.1280000000000001,17.052804000000002,-0.11800000000000033,17.589636,0.03399999999999981
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,0.226,18.27996,-0.226,19.2721,0.036000000000000476
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,0.266,18.49812,-0.08199999999999985,19.678096,0.21999999999999975
