Date,Open,High,Low,Close,Adj Close,Volume,dhia,tty
2010-06-29,3.8,5.0,3.508,4.7780000000000005,4.7780000000000005,93831500,1.492,1.3157894736842106
2010-06-30,5.1579999999999995,6.084,4.66,4.766,4.766,85935500,1.4239999999999997,1.179526948429624
2010-07-01,5.0,5.184,4.053999999999999,4.3919999999999995,4.3919999999999995,41094000,1.13,1.0368
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,0.8780000000000001,1.0043478260869567
2010-07-06,4.0,4.0,3.1660000000000004,3.222,3.222,34334500,0.8340000000000001,1.0
2010-07-07,3.28,3.326,2.9960000000000004,3.16,3.16,34608500,0.3300000000000001,1.0140243902439026
2010-07-08,3.228,3.5039999999999996,3.114,3.492,3.492,38557000,0.3900000000000001,1.0855018587360592
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,0.27,1.018202502844141
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,0.214,1.0066852367688022
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,0.3480000000000003,1.0718803910293273
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,0.4780000000000002,1.1231884057971016
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,0.5,1.078234704112337
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,0.25,1.028985507246377
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,0.266,1.0411792232101076
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,0.3600000000000003,1.0
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,0.2799999999999998,1.0116166505324298
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,0.17600000000000016,1.0365853658536586
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,0.10000000000000052,1.017461066540821
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,0.2400000000000002,1.0
2010-07-27,4.1819999999999995,4.236000000000001,4.052,4.11,4.11,3098500,0.18400000000000016,1.0129124820659974
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,0.0779999999999994,1.0170316301703162
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,0.17600000000000016,1.0052961001444392
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,0.17799999999999996,1.011881188118812
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,0.1280000000000001,1.0229268292682927
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,0.226,1.045238095238095
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,0.266,1.0104783599088838
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,0.2999999999999998,1.0004642525533889
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,0.1280000000000001,1.0029850746268658
2010-08-09,3.98,3.9960000000000004,3.89,3.92,3.92,4063500,0.10599999999999987,1.0040201005025127
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,0.16600000000000034,1.0
2010-08-11,3.738,3.7760000000000002,3.57,3.58,3.58,3988000,0.206,1.0101658640984483
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,0.10199999999999987,1.0056179775280898
2010-08-13,3.636,3.69,3.532,3.6639999999999997,3.6639999999999997,3170000,0.15799999999999992,1.0148514851485149
2010-08-16,3.69,3.76,3.6519999999999997,3.7560000000000002,3.7560000000000002,2429000,0.10799999999999964,1.018970189701897
2010-08-17,3.792,3.88,3.7560000000000002,3.83,3.83,2239500,0.12400000000000012,1.0232067510548524
2010-08-18,3.918,3.918,3.72,3.7539999999999996,3.7539999999999996,3006500,0.19799999999999995,1.0
2010-08-19,3.708,3.85,3.6660000000000004,3.758,3.758,2895500,0.18400000000000016,1.0382955771305287
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,0.1200000000000001,1.0246648793565685
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,0.2780000000000005,1.068098480880042
2010-08-24,3.85,3.9419999999999997,3.79,3.84,3.84,3365500,0.15200000000000016,1.0238961038961039
2010-08-25,3.832,3.9960000000000004,3.7119999999999997,3.98,3.98,2516500,0.2839999999999998,1.0427974947807934
2010-08-26,3.978,4.053999999999999,3.92,3.95,3.95,2169000,0.13400000000000034,1.019105077928607
2010-08-27,3.95,3.9739999999999998,3.9,3.94,3.94,1898000,0.07400000000000029,1.0060759493670886
